X,Y,Z
7928,-471,801
7121,-678,-42
5115,561,-3531
5121,-420,-3517
4976,-420,-3563
5417,712,-3394
5166,686,-3463
5036,-424,-3640
5361,1043,-3188
5066,-382,-3540
5433,849,-3127
5220,1173,-3335
4901,1128,-3708
5140,865,-3505
5412,861,-3124
5279,644,-3346
5084,473,-3693
4842,301,-3938
5278,1183,-3324
4435,1128,-3838
5241,702,-3265
5282,695,-3275
5220,351,-3550
4647,-18,-4266
5227,1165,-3223
5366,1171,-3133
4837,809,-3871
4863,752,-3905
5319,660,-3361
4452,-73,-4016
4854,-127,-3912
5124,-257,-3500
5137,-255,-3464
4999,553,-3734
5367,-219,-3346
5481,196,-3204
738,-1576,-2421
147,-156,-4211
-1415,-1668,-946
-1487,-784,-608
-237,-854,-1280
4736,615,-1878
1183,-202,-4628
1184,-218,-4680
5057,-377,-3616
2575,-470,-3497
1210,757,-4624
2573,-460,-3502
5032,-400,-3646
5031,-418,-3648
5034,-407,-3637
6611,1454,455
4138,625,-1427
4539,451,-1803
8410,1060,2695
5416,712,-3141
4161,612,-1478
5489,1163,-3132
4163,564,-1500
10052,1599,2892
9536,1410,2611
5322,491,-3296
7791,886,727
8298,835,1289
5374,1203,-3058
4139,500,-1490
5015,-430,-3641
5536,1353,-2793
4602,459,-1824
5614,1463,-2983
5470,1239,-3095
5445,856,-3139
4110,406,-1462
4524,435,-1793
5020,-383,-3650
5037,-399,-3623
5206,1223,-3417
5488,1215,-3213
4140,559,-1492
4834,667,-1940
4667,496,-1870
5033,-385,-3611
5056,-388,-3582
5432,-591,-3016
6840,1172,679
8117,1092,2281
8065,1092,2162
5414,1057,-3190
5449,1622,624
5950,1471,88
5749,1623,606
5783,1563,131
5672,1498,-3035
7752,1257,2745
8034,1090,1041
5726,1606,56
5785,1597,127
5785,1599,147
5784,1520,129
5879,1600,250
5941,1504,228
5559,1438,-2974
7649,1269,2726
7524,1250,2776
8023,1106,1952
5321,-261,-3477
5770,1615,59
5846,1509,-70
5894,1515,-47
5942,1464,-38
6064,1514,225
7541,1342,2727
7656,1286,2618
7664,1267,2623
5519,1289,-2807
8219,1059,2096
8068,1059,2611
8059,1058,2608
4707,461,-1852
5324,228,-373
5324,-212,-3314
5475,-238,-3319
5254,-228,-3569
5435,-273,-3334
5400,-301,-3294
5424,-301,-3387
5375,1718,282
5301,1707,379
5767,1579,91
5979,1533,77
5929,1498,48
6059,1510,105
5979,1511,93
5994,1480,158
5614,1463,-2983
7693,1302,2590
7584,1226,2841
4099,617,-1445
4806,461,-1960
5255,498,-3358
-8,1029,2448
5277,1311,-3379
5103,550,-3559
4627,-31,-4193
4623,-149,-4206
4630,-167,-4216
4739,2954,-3927
4763,2953,-3954
209,1481,-1166
841,50,-4450
638,65,-4296
-3437,2074,4478
-3507,2375,3633
-3475,2203,4408
895,591,-2135
-5108,457,4929
-3964,1165,6370
-1420,1090,6941
1174,1638,10030
-964,1246,9534
-734,392,7640
-4604,219,6169
-732,1163,10216
-1839,1675,6932
-3090,1948,6077
-1845,1757,7455
-1901,1725,7389
-1742,1720,7567
-732,1247,7741
-673,-54,7664
-3365,907,4393
-3095,1960,6753
-1889,1748,7437
-2392,1714,7404
-1122,1785,7098
-1911,1695,7390
-1111,1618,7471
-229,1563,8360
-4164,304,6019
-143,19,9837
-2835,1862,6560
138,1489,9452
221,977,10479
-404,175,9554
-2580,1985,5735
-5023,452,4943
-831,1421,10119
-4320,311,6003
-4505,321,5918
-5082,437,4905
-5073,436,4921
328,881,9677
-756,420,9838
-974,1791,7930
-4065,273,6181
-4065,273,6181
-639,829,9839
-1538,586,7921
341,-1654,10997
341,-1654,10997
-1019,1373,9946
-223,1196,9828
1,1110,9878
-79,572,7674
497,-1459,9562
565,-1472,9633
-2482,1982,5848
-695,717,10091
